,genus,species,mamm,mass.kg,wingspan.m,wingarea.m2,AR,WL,diet,diet1,diet2,comment,comment1,
37,Desmodus,rotundus,bat,0.0285,0.366,0.02,6.6978,13.97925,s,s,s,,,
38,Diphylla,ecaudata,bat,0.0329,0.356,0.019,6.6703157895,16.9867894737,s,s,s,,,
39,Natalus,stramineus,bat,0.0039,0.24,0.0099,5.8181818182,3.8645454545,i,i,i,,,
40,Thyroptera,tricolor,bat,0.0035,0.224,0.0083,6.0453012048,4.136746988,i,i,i,,,
41,Myotis,dasycneme,bat,0.0114,0.271,0.0108,6.8000925926,10.355,i,i,i,,,
42,Myotis,evotis,bat,0.0073,0.265,0.0118,5.9512711864,6.0688983051,i,i,i,,,
43,Myotis,myotis,bat,0.0265,0.383,0.0233,6.2956652361,11.1572961373,i,i,i,,,
44,Myotis,vivesi,bat,0.025,0.448,0.0271,7.4060516605,9.0498154982,ip,p,i,,,
45,Lasionycteris,noctivagans,bat,0.0106,0.289,0.0127,6.5764566929,8.1878740157,i,i,i,,,
46,Pipistrellus,kuhli,bat,0.0047,0.185,0.0054,6.337962963,8.5383333333,i,i,i,,,
47,Pipistrellus,pipistrellus,bat,0.0052,0.218,0.0063,7.5434920635,8.0971428571,i,i,i,,,
48,Nyctalus,leisleri,bat,0.0169,0.26,0.0086,7.8604651163,19.2777906977,i,i,i,,,
49,Nyctalus,noctula,bat,0.0265,0.344,0.0161,7.3500621118,16.1468944099,i,i,i,,,
50,Eptesicus,fuscus,bat,0.0159,0.325,0.0166,6.3629518072,9.3963253012,i,i,i,,,
51,Eptesicus,serotinus,bat,0.0223,0.341,0.018,6.4600555556,12.1535,i,i,i,,,
52,Vespertilio,murinus,bat,0.0115,0.278,0.0111,6.9625225225,10.1635135135,i,i,i,,,
53,Scotophilus,dinganii,bat,0.024,0.372,0.019,7.2833684211,12.3915789474,i,i,i,,,
54,Lasiurus,cinereus,bat,0.033,0.398,0.0196,8.0818367347,16.5168367347,i,i,i,,,
55,Barbastella,barbastellus,bat,0.0103,0.258,0.0111,5.9967567568,9.102972973,i,i,i,,,
56,Plecotus,auritus,bat,0.009,0.267,0.0124,5.7491129032,7.1201612903,i,i,i,,,
57,Miniopterus,schreibersi,bat,0.0142,0.309,0.0137,6.9694160584,10.1680291971,i,i,i,,,
58,Kerivoula,argentata,bat,0.01,0.301,0.0149,6.0806040268,6.5838926174,i,i,i,,,
59,Antrozous,pallidus,bat,0.0173,0.357,0.021,6.069,8.0815714286,ifc,i,f,,,
60,Mystacina,tuberculata,bat,0.0135,0.274,0.0108,6.9514814815,12.2625,ifn,i,f,,,
61,Tadarida,brasiliensis,bat,0.0125,0.295,0.0106,8.2099056604,11.5683962264,i,i,i,,,
62,Otomops,martiensseni,bat,0.0355,0.467,0.0234,9.320042735,14.8826923077,i,i,i,,,
63,Eumops,perotis,bat,0.0535,0.446,0.0209,9.5175119617,25.111722488,i,i,i,,,
64,Molossus,rufus,bat,0.0286,0.365,0.012,11.1020833333,23.3805,i,i,i,fast fliers,open areas,
65,Mimetillus,moloneyi,bat,0.0088,0.18,0.0048,6.75,17.985,i,i,i,,,
b13,Fratercula,arctica,bird,0.398,0.549,0.0369,8.1680487805,105.8097560976,,,,,,
b126,Pelecanus,occidentalis,bird,3.39,2.26,0.45,11.3502222222,73.902,,,,,,
b128,Fregata,magnificens,bird,1.47,2.29,0.408,12.8531862745,35.3448529412,,,,marine soarers,,
b192,Ardea,occidentalis,bird,2.5,1.91,0.493,7.3997971602,49.7464503043,,,,inland soarers,,heron
b326,Coragyps,atratus,bird,2.08,1.38,0.327,5.823853211,62.4,,,,,,
b360,Falco,sparverius,bird,0.09,0.502,0.0344,7.3256976744,25.6656976744,,,,,,
b614,Tachycineta,bicolor,bird,0.0201,0.32,0.0133,7.6992481203,14.8256390977,,,,,,
b111,Apus,apus,bird,0.043,0.4,0.0171,9.3567251462,24.6684210526,,,,high speed hunter,,
b65,Cygnus,olor,bird,10.597,2.3,0.6504,8.1334563346,159.8348247232,,,,water birds,,
b66,Anser,anser,bird,3.326,1.55,0.3079,7.8028580708,105.9696654758,,,,,,
b67,Columba,oenas,bird,0.295,0.75,0.0532,10.5733082707,54.397556391,,,,,,
b68,Calidris,canutus,bird,0.128,0.5,0.0286,8.7412587413,43.9048951049,,,,,,
b69,Larus,argentatus,bird,1.142,1.34,0.1968,9.1239837398,56.9259146341,,,,,,
b70,Egretta,alba,bird,0.888,1.44,0.2443,8.4879246828,35.6581252558,,,,,,
b71,Ciconia,Ciconia,bird,3.432,1.91,0.5326,6.8496057078,63.2142696207,,,,,,
b72,Riparia,riparia,bird,0.015,0.27,0.0096,7.59375,15.328125,,,,,,
b73,Motacilla,alba,bird,0.021,0.26,0.0123,5.4959349593,16.7487804878,,,,,,
b74,Turdus,pilaris,bird,0.105,0.42,0.0299,5.8996655518,34.4498327759,,,,,,
b75,Parus,major,bird,0.019,0.23,0.0109,4.8532110092,17.1,,,,,,
b76,Corvus,corax,bird,1.149,1.21,0.2472,5.9227346278,45.5974514563,,,,,,
b77,Milvus,milvus,bird,1.012,1.66,0.3248,8.4839901478,30.5656403941,,,,aerial predators,,
b78,Accipiter,nisus,bird,0.277,0.67,0.0768,5.8450520833,35.382421875,,,,forest predator,,
b79,Buteo,buteo,bird,0.885,1.24,0.2689,5.7181108219,32.2865377464,,,,,,
b80,Merops,apiaster,bird,0.057,0.47,0.0273,8.0915750916,20.4824175824,,,,,,
b81,Phalacrocorax,carbo,bird,2.227,1.4,0.224,8.75,97.5306696429,,,,,,
b82,Meleagris,gallopavo,bird,5.275,1.19,0.3453,4.101071532,149.8631624674,,,,'poor' fliers,,
b83,Phasianus,colchinus,bird,0.943,0.681,0.10015,4.630664004,92.3697453819,,,,,,
b84,Gavia,stellata,bird,1.505,1.04,0.089,12.1528089888,165.8882022472,,,,,,
b85,Uria,lomvia,bird,,,,15.74,184.5,,,,diving birds,,
b86,Phoebastria,immutabilis,bird,,,,15.57,85.5,,,,marine soarers,,albatross
b87,Lampornis,clemenciae,bird,8.4,,,8.2,23.5,,,,,,large hummingbird
b88,Eugenes,fulgens,bird,7.4,,,8.4,24.7,,,,,,large hummingbird
b89,Archilochus,alexandri,bird,3,,,7.1,23.5,,,,,,small hummingbird
b90,Selasphorus,rufus,bird,3.3,,,7.4,33.6,,,,,,small hummingbird
t1,Airbus A380,,tech,,,,7.8,663,,,,Airbus A380,,
,Boeing 777,,tech,,,,8.67,567,,,,Boeing 777,,
,Tu-134,,tech,,,,6.61,369.21,,,,Tu-134,,
